NUMERO_REGISTRO;PRODUTO_TECNICO_MARCA_COMERCIAL;INGREDIENTE_ATIVO(GRUPO_QUIMICI)(CONCENTRACAO);CLASSE;TITULAR_REGISTRO;EMPRESA_<PAIS>_TIPO;CLASSIFICACAO_TOXICOLOGICA;CLASSIFICACAO_AMBIENTAL
4215;2,4 D Técnico Mol;2,4-D (ácido ariloxialcanóico) (973 g/kg);Herbicida;Meghmani Organics Biodefensivos e Agrícolas do Brasil Ltda - Campinas/SP; (Meghmani Organics Ltd. - Unit II - Panoli<ÍNDIA>FABRICANTE);I;III
10116;2,4-D Acid Tecnico;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA; (Swati Chemical Industries - Baroda<ÍNDIA>FABRICANTE);II;III
35523;Heterorhabditis bacteriophora Técnico;Heterorhabditis bacteriophora (840 g/kg);Agente Biológico de Controle;Koppert do Brasil Holding S.A. - Piracicaba/SP; (Koppert BV - Holanda<PAÍSES BAIXOS, HOLANDA>FABRICANTE);Não Classificado;Produto Pouco Perigoso ao Meio Ambiente
