BR;UF ;Tipo de trecho;Código;Local de Início;Local de Fim;km inicial;km final;Extensão;Superfície Federal;Obras;Federal Coincidente;Administração;Ato legal;Estadual Coincidente;Superfície Est. Coincidente;Jurisdição;Superfície;Unidade Local
010;DF;Eixo Principal;010BDF0010;ENTR BR-020(A)/030(A)/450/DF-001 (BRASÍLIA);ENTR DF-440;0;2,4;2,4;DUP;;"010BDF0010;020BDF0010;030BDF0010";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0015;ENTR DF-440;ACESSO I SOBRADINHO;2,4;6;3,6;DUP;;"010BDF0015;020BDF0015;030BDF0015";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0016;ACESSO I SOBRADINHO;ACESSO II SOBRADINHO;6;8,3;2,3;DUP;;"010BDF0016;020BDF0016;030BDF0016";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0018;ACESSO II SOBRADINHO;ENTR DF-230;8,3;18,2;9,9;DUP;;"010BDF0018;020BDF0018;030BDF0018";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0020;ENTR DF-230;ENTR DF-128;18,2;22;3,8;DUP;;"010BDF0020;020BDF0020;030BDF0020";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0022;ENTR DF-128;P/PLANALTINA;22;25;3;DUP;;"010BDF0022;020BDF0022;030BDF0022";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0030;P/PLANALTINA;ENTR BR-020(B)/030(B)/DF-345(A);25;34;9;DUP;;"010BDF0030;020BDF0030;030BDF0030";Federal;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0050;ENTR BR-020(B)/030(B)/DF-345(A);ENTR VICINAL-111;34;38,1;4,1;PLA;;010BDF0050;Distrital;;DF-345;PAV;Distrital;PLA;
010;DF;Eixo Principal;010BDF0052;ENTR VICINAL-111;ENTR DF-205;38,1;42,7;4,6;PLA;;010BDF0052;Distrital;;DF-345;PAV;Distrital;PLA;
010;DF;Eixo Principal;010BDF0070;ENTR DF-205;ENTR DF-345(B) (DIV DF/GO);42,7;45;2,3;PLA;;010BDF0070;Distrital;;DF-345;PAV;Distrital;PLA;
010;GO;Eixo Principal;010BGO0090;ENTR GO-118(A) (DIV DF/GO);ENTR GO-430(A);0;5,5;5,5;PLA;;010BGO0090;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0095;ENTR GO-430(A);ENTR GO-430(B) (P/PLANALTINA);5,5;9;3,5;PLA;;010BGO0095;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0110;ENTR GO-430(B) (P/PLANALTINA);SÃO GABRIEL DE GOIÁS;9;32;23;PLA;;010BGO0110;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0120;SÃO GABRIEL DE GOIÁS;ENTR GO-230;32;38,2;6,2;PLA;;010BGO0120;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0125;ENTR GO-230;ENTR GO-237;38,2;66,8;28,6;PLA;;010BGO0125;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0130;ENTR GO-237;INÍCIO PERÍMETRO URB SÃO JOÃO D ALIANÇA;66,8;92,9;26,1;PLA;;010BGO0130;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0135;INÍCIO PERÍMETRO URB SÃO JOÃO D ALIANÇA;FIM PERÍMETRO URB SÃO JOÃO D ALIANÇA;92,9;94,5;1,6;PLA;;010BGO0135;Estadual;;GO-118;DUP;Estadual;PLA;
010;GO;Eixo Principal;010BGO0140;FIM PERÍMETRO URB SÃO JOÃO D ALIANÇA;ENTR GO-236;94,5;105,9;11,4;PLA;;010BGO0140;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0150;ENTR GO-236;ENTR GO-239(A) (ALTO PARAÍSO DE GOIÁS);105,9;161,3;55,4;PLA;;010BGO0150;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0160;ENTR GO-239(A) (ALTO PARAÍSO DE GOIÁS);ENTR GO-239(B) (ALTO PARAÍSO DE GOIÁS);161,3;162,3;1;PLA;;010BGO0160;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0170;ENTR GO-239(B) (ALTO PARAÍSO DE GOIÁS);ENTR GO-118(B)/241 (TERESINA DE GOIÁS);162,3;227,4;65,1;PLA;;010BGO0170;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0180;ENTR GO-118(B)/241 (TERESINA DE GOIÁS);DIV GO/TO (RIO PARANÃ);227,4;289,4;62;PLA;;010BGO0180;Federal;;;;Federal;PLA;
010;MA;Eixo Principal;010BMA0360;DIV TO/MA;ENTR BR-230(A) (CAROLINA);0;34;34;PLA;;010BMA0360;Federal;;;;Federal;PLA;
010;MA;Eixo Principal;010BMA0370;ENTR BR-230(A) (CAROLINA);ENTR BR-226(A)/230(B)/MA-138 (ESTREITO);34;128,8;94,8;PAV;;"010BMA0370;230BMA1070";Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0390;ENTR BR-226(A)/230(B)/MA-138 (ESTREITO);ENTR BR-226(B) (PORTO FRANCO);128,8;156,4;27,6;PAV;;"010BMA0390;226BMA0930";Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0400;ENTR BR-226(B) (PORTO FRANCO);CAMPESTRE DO MARANHÃO;156,4;176,8;20,4;PAV;;010BMA0400;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0410;CAMPESTRE DO MARANHÃO;RIBAMAR FIQUENE;176,8;203,5;26,7;PAV;;010BMA0410;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0420;RIBAMAR FIQUENE;ENTR MA-280 (GOVERNADOR ÉDSON LOBÃO);203,5;223,1;19,6;PAV;;010BMA0420;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0425;ENTR MA-280 (GOVERNADOR ÉDSON LOBÃO);INÍCIO TRAV URB IMPERATRIZ;223,1;246,4;23,3;PAV;;010BMA0425;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0430;INÍCIO TRAV URB IMPERATRIZ;ENTR MA-122 (IMPERATRIZ);246,4;253,6;7,2;PAV;EOD;010BMA0430;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0440;ENTR MA-122 (IMPERATRIZ);FIM TRAV URB IMPERATRIZ;253,6;260,8;7,2;PAV;EOD;010BMA0440;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0450;FIM TRAV URB IMPERATRIZ;ENTR MA-125 (P/CIDELÂNDIA);260,8;295,2;34,4;PAV;;010BMA0450;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0460;ENTR MA-125 (P/CIDELÂNDIA);ENTR BR-222(A) (AÇAILÂNDIA);295,2;319,8;24,6;PAV;;010BMA0460;Federal;;;;Federal;PAV;Imperatriz
010;MA;Eixo Principal;010BMA0470;ENTR BR-222(A) (AÇAILÂNDIA);DIV MA/PA (RIO ITINGA);319,8;378,7;58,9;PAV;;"010BMA0470;222BMA0690";Federal;;;;Federal;PAV;Imperatriz
010;PA;Eixo Principal;010BPA0490;DIV MA/PA (RIO ITINGA);ENTR BR-222(B)/PA-332 (DOM ELISEU);0;18;18;PAV;;"010BPA0490;222BPA0710";Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0510;ENTR BR-222(B)/PA-332 (DOM ELISEU);ENTR PA-125/263 (GURUPIZINHO);18;83,5;65,5;PAV;;010BPA0510;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0530;ENTR PA-125/263 (GURUPIZINHO);ENTR PA-256 (P/PARAGOMINAS);83,5;165,8;82,3;PAV;;010BPA0530;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0550;ENTR PA-256 (P/PARAGOMINAS);ENTR PA-125;165,8;176,1;10,3;PAV;;010BPA0550;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0570;ENTR PA-125;ENTR PA-252 (MÃE DO RIO);176,1;272;95,9;PAV;;010BPA0570;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0590;ENTR PA-252 (MÃE DO RIO);ENTR PA-253(A) (P/SÃO DOMINGOS DO CAPIM);272;299,6;27,6;PAV;;010BPA0590;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0610;ENTR PA-253(A) (P/SÃO DOMINGOS DO CAPIM);ENTR PA-253(B) (P/IRITUIA);299,6;307,4;7,8;PAV;;010BPA0610;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0630;ENTR PA-253(B) (P/IRITUIA);ENTR PA-432 (P/VILA CONCEIÇÃO);307,4;313,1;5,7;PAV;;010BPA0630;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0650;ENTR PA-432 (P/VILA CONCEIÇÃO);ENTR PA-251/322 (SÃO MIGUEL DO GUAMA);313,1;321,7;8,6;PAV;;010BPA0650;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0670;ENTR PA-251/322 (SÃO MIGUEL DO GUAMA);SANTA MARIA DO PARÁ;321,7;353,7;32;PAV;;010BPA0670;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0690;SANTA MARIA DO PARÁ;ENTR BR-316(A)/308(A);353,7;355;1,3;PAV;;010BPA0690;Federal;;;;Federal;PAV;São Miguel do Guamá
010;PA;Eixo Principal;010BPA0710;ENTR BR-316(A)/308(A);ENTR PA-424 (P/COLÔNIA DO PRATA);355;362,2;7,2;PAV;;"010BPA0710;308BPA0140;316BPA0140";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0730;ENTR PA-424 (P/COLÔNIA DO PRATA);ENTR PA-127(A) (P/IGARAPÉ AÇU);362,2;371,7;9,5;PAV;;"010BPA0730;308BPA0130;316BPA0130";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0750;ENTR PA-127(A) (P/IGARAPÉ AÇU);ENTR PA-127(B) (BARRO BRANCO);371,7;377,5;5,8;PAV;;"010BPA0750;308BPA0120;316BPA0120";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0770;ENTR PA-127(B) (BARRO BRANCO);INÍCIO PISTA DUPLA;377,5;389,9;12,4;PAV;;"010BPA0770;308BPA0110;316BPA0110";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0780;INÍCIO PISTA DUPLA;ENTR PA-136/320 (CASTANHAL);389,9;393,4;3,5;DUP;;"010BPA0780;308BPA0105;316BPA0105";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0790;ENTR PA-136/320 (CASTANHAL);ACESSO AMERICANO I;393,4;407;13,6;DUP;;"010BPA0790;308BPA0100;316BPA0100";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0810;ACESSO AMERICANO I;ACESSO AMERICANO II;407;409,7;2,7;DUP;;"010BPA0810;308BPA0090;316BPA0090";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0830;ACESSO AMERICANO II;ENTR PA-140 (SANTA IZABEL DO PARÁ);409,7;421,4;11,7;DUP;;"010BPA0830;308BPA0080;316BPA0080";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0850;ENTR PA-140 (SANTA IZABEL DO PARÁ);ENTR PA-406 (CAJUEIRO);421,4;431,6;10,2;DUP;;"010BPA0850;308BPA0070;316BPA0070";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0870;ENTR PA-406 (CAJUEIRO);ENTR PA-391 (P/BENEVIDES);431,6;433,6;2;DUP;;"010BPA0870;308BPA0060;316BPA0060";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0890;ENTR PA-391 (P/BENEVIDES);ENTR PA-406 (CANUTAMA);433,6;437,1;3,5;DUP;;"010BPA0890;308BPA0050;316BPA0050";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0910;ENTR PA-406 (CANUTAMA);ENTR PA-404 (P/BENFICA);437,1;439,5;2,4;DUP;;"010BPA0910;308BPA0040;316BPA0040";Federal;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0930;ENTR PA-404 (P/BENFICA);ACESSO ALÇA VIÁRIA;439,5;447,9;8,4;DUP;;"010BPA0930;308BPA0030;316BPA0030";Convênio de Administração;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0940;ACESSO ALÇA VIÁRIA;DIV MUN BELÉM/ANANINDEUA (ALAM M BONITA);447,9;455,8;7,9;DUP;;"010BPA0940;308BPA0020;316BPA0020";Convênio de Administração;;;;Federal;PAV;Capanema
010;PA;Eixo Principal;010BPA0970;DIV MUN BELÉM/ANANINDEUA (ALAM M BONITA);ENTR BR-308(B)/316(B) (2º UNIT BELÉM);455,8;457,5;1,7;DUP;;"010BPA0970;308BPA0010;316BPA0010";Convênio de Administração;;;;Federal;PAV;Capanema
010;TO;Eixo Principal;010BTO0185;DIV GO/TO (RIO PARANÃ);ENTR BR-242(A)/TO-130/296/387(A) (PARANÃ);0;92,1;92,1;PLA;;010BTO0185;Federal;;;;Federal;PLA;
010;TO;Eixo Principal;010BTO0190;ENTR BR-242(A)/TO-130/296/387(A) (PARANÃ);ACESSO A PARANÃ;92,1;93;0,9;PAV;;"010BTO0190;242BTO0400";Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0195;ACESSO A PARANÃ;FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO PRÍNCIPE);93;96,3;3,3;PAV;;"010BTO0195;242BTO0405";Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0197;FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO PRÍNCIPE);FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO GURUPI);96,3;97,4;1,1;DUP;;"010BTO0197;242BTO0410";Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0199;FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO GURUPI);ENTR BR-242(B);97,4;98;0,6;DUP;;"010BTO0199;242BTO0415";Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0200;ENTR BR-242(B);FIM DA PAVIMENTAÇÃO;98;135,8;37,8;PAV;;010BTO0200;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0205;FIM DA PAVIMENTAÇÃO;ENTR TO-387(B);135,8;136,5;0,7;PAV;;010BTO0205;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0210;ENTR TO-387(B);INÍCIO DA PAVIMENTAÇÃO;136,5;142,9;6,4;IMP;;010BTO0210;Federal;;;;Federal;N_PAV;Gurupi
010;TO;Eixo Principal;010BTO0215;INÍCIO DA PAVIMENTAÇÃO;ENTR TO-050(A) (PRÍNCIPE);142,9;182,6;39,7;PAV;;010BTO0215;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0220;ENTR TO-050(A) (PRÍNCIPE);BONFIM;182,6;195,5;12,9;PAV;;010BTO0220;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0225;BONFIM;ENTR TO-280(A) (NATIVIDADE) (P/ S VALÉRIO DA NATIVIDADE);195,5;217,8;22,3;PAV;;010BTO0225;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0230;ENTR TO-280(A) (NATIVIDADE) (P/ S VALÉRIO DA NATIVIDADE);ENTR TO-280(B) (NATIVIDADE) (P/ ALMAS);217,8;220,8;3;PAV;;010BTO0230;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0235;ENTR TO-280(B) (NATIVIDADE) (P/ ALMAS);CHAPADA DA NATIVIDADE;220,8;229,5;8,7;PAV;;010BTO0235;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0240;CHAPADA DA NATIVIDADE;ENTR TO-130(B);229,5;239,5;10;PAV;;010BTO0240;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0245;ENTR TO-130(B);ENTR TO-373 (SANTA ROSA DO TOCANTINS);239,5;281,1;41,6;PAV;;010BTO0245;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0250;ENTR TO-373 (SANTA ROSA DO TOCANTINS);ENTR TO-458 (P/IPUEIRAS);281,1;289,4;8,3;PAV;;010BTO0250;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0255;ENTR TO-458 (P/IPUEIRAS);ENTR TO-262(A);289,4;319,6;30,2;PAV;;010BTO0255;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0260;ENTR TO-262(A);ENTR TO-262(B)/365(A) (SILVANÓPOLIS);319,6;323;3,4;PAV;;010BTO0260;Federal;;;;Federal;PAV;Gurupi
010;TO;Eixo Principal;010BTO0262;ENTR TO-262(B)/365(A) (SILVANÓPOLIS);ENTR TO-365(B) (P/MONTE DO CARMO);323;333,5;10,5;PLA;;010BTO0262;Estadual;;TO-050;PAV;Estadual;PLA;
010;TO;Eixo Principal;010BTO0264;ENTR TO-365(B) (P/MONTE DO CARMO);ENTR TO-458;333,5;357,3;23,8;PLA;;010BTO0264;Estadual;;TO-050;PAV;Estadual;PLA;
010;TO;Eixo Principal;010BTO0268;ENTR TO-458;INÍCIO PISTA DUPLA PORTO NACIONAL;357,3;377,2;19,9;PLA;;010BTO0268;Estadual;;TO-050;PAV;Estadual;PLA;
010;TO;Eixo Principal;010BTO0270;INÍCIO PISTA DUPLA PORTO NACIONAL;ENTR TO-070(A)/255(A) (P/ BREJINHO DE NAZARÉ);377,2;377,8;0,6;PLA;;010BTO0270;Estadual;;TO-050;DUP;Estadual;PLA;
010;TO;Eixo Principal;010BTO0272;ENTR TO-070(A)/255(A) (P/ BREJINHO DE NAZARÉ);ENTR TO-255(B) (P/ MONTE DO CARMO);377,8;384,3;6,5;PLA;;010BTO0272;Estadual;;TO-050;DUP;Estadual;PLA;
010;TO;Eixo Principal;010BTO0274;ENTR TO-255(B) (P/ MONTE DO CARMO);FIM PISTA DUPLA PORTO NACIONAL;384,3;385;0,7;PLA;;010BTO0274;Estadual;;TO-050;DUP;Estadual;PLA;
010;TO;Eixo Principal;010BTO0276;FIM PISTA DUPLA PORTO NACIONAL;ENTR AV. IPANEMA (PALMAS);385;424,5;39,5;PLA;;010BTO0276;Estadual;;TO-050;PAV;Estadual;PLA;
010;TO;Eixo Principal;010BTO0278;ENTR AV. IPANEMA (PALMAS);ENTR AV TOCANTINS (PALMAS);424,5;429;4,5;PLA;;010BTO0278;Estadual;;TO-050;PAV;Estadual;PLA;
010;TO;Eixo Principal;010BTO0280;ENTR AV TOCANTINS (PALMAS);ENTR TO-020(A)/050(B)/070(B) (PALMAS);429;440,5;11,5;DUP;;010BTO0280;Federal;;;;Federal;PAV;Palmas
010;TO;Eixo Principal;010BTO0285;ENTR TO-020(A)/050(B)/070(B) (PALMAS);FIM PISTA DUPLA (PALMAS) *TRECHO URBANO*;440,5;442,9;2,4;PLA;;010BTO0285;Municipal;;AVENIDA;DUP;Estadual;PLA;
010;TO;Eixo Principal;010BTO0290;FIM PISTA DUPLA (PALMAS);ENTR TO-020(B) (APARECIDA DO RIO NEGRO);442,9;506,4;63,5;PLA;;010BTO0290;Estadual;;TO-020;PAV;Estadual;PLA;
010;TO;Eixo Principal;010BTO0295;ENTR TO-020(B) (APARECIDA DO RIO NEGRO);FIM DA PAVIMENTAÇÃO;506,4;529,4;23;PAV;;010BTO0295;Federal;;;;Federal;PAV;Palmas
010;TO;Eixo Principal;010BTO0300;FIM DA PAVIMENTAÇÃO;CÓRREGO ALDEIA;529,4;541,8;12,4;LEN;;010BTO0300;Federal;;;;Federal;N_PAV;Palmas
010;TO;Eixo Principal;010BTO0305;CÓRREGO ALDEIA;INÍCIO DA PAVIMENTAÇÃO;541,8;582,1;40,3;LEN;;010BTO0305;Federal;;;;Federal;N_PAV;Palmas
010;TO;Eixo Principal;010BTO0310;INÍCIO DA PAVIMENTAÇÃO;ENTR TO-245(B) (RIO SONO);582,1;609,2;27,1;PAV;;010BTO0310;Federal;;;;Federal;PAV;Palmas
010;TO;Eixo Principal;010BTO0313;ENTR TO-245(B) (RIO SONO);INÍCIO TRAVESSIA RIO PERDIDA;609,2;610,8;1,6;PAV;;010BTO0313;Federal;;;;Federal;PAV;Palmas
010;TO;Eixo Principal;010BTO0315;INÍCIO TRAVESSIA RIO PERDIDA;FIM TRAVESSIA RIO PERDIDA;610,8;611;0,2;TRV;;010BTO0315;Federal;;;;Federal;N_PAV;Palmas
010;TO;Eixo Principal;010BTO0318;FIM TRAVESSIA RIO PERDIDA;FIM DA PAVIMENTAÇÃO;611;616,6;5,6;PAV;;010BTO0318;Federal;;;;Federal;PAV;Palmas
010;TO;Eixo Principal;010BTO0320;FIM DA PAVIMENTAÇÃO;ENTR BR-235;616,6;636,3;19,7;PLA;;010BTO0320;Federal;;;;Federal;PLA;
010;TO;Eixo Principal;010BTO0325;ENTR BR-235;ENTR TO-010(A)/428 (SANTA MARIA DO TOCANTINS);636,3;675,1;38,8;PLA;;010BTO0325;Federal;;;;Federal;PLA;
010;TO;Eixo Principal;010BTO0330;ENTR TO-010(A)/428 (SANTA MARIA DO TOCANTINS);ENTR TO-239 (ITACAJÁ);675,1;723,3;48,2;LEN;;010BTO0330;Federal;;;;Federal;N_PAV;Palmas
010;TO;Eixo Principal;010BTO0335;ENTR TO-239 (ITACAJÁ);INÍCIO DE PAVIMENTAÇÃO;723,3;791,7;68,4;LEN;;010BTO0335;Federal;;;;Federal;N_PAV;Palmas
010;TO;Eixo Principal;010BTO0350;INÍCIO DE PAVIMENTAÇÃO;MORRO GRANDE;791,7;799,8;8,1;PAV;;010BTO0350;Federal;;;;Federal;PAV;Palmas
010;TO;Eixo Principal;010BTO0355;MORRO GRANDE;GOIATINS;799,8;832,1;32,3;PAV;;010BTO0355;Federal;;;;Federal;PAV;Palmas
010;TO;Eixo Principal;010BTO0357;GOIATINS;DIV TO/MA;832,1;833,1;1;PLA;;010BTO0357;Federal;;;;Federal;PLA;
020;PI;Acesso;020API1005;ENTR BR-020;ACS SUL S RAIMUNDO NONATO - ACESSO NORTE;0;4,6;4,6;PAV;;020API1005;Federal;;;;Federal;PAV;Picos
020;PI;Acesso;020API2005;ENTR BR-020;ENTR BR-324/PI-040 (S RAIMUNDO NONATO - ACESSO SUL);0;5,8;5,8;PAV;;020API2005;Federal;;;;Federal;PAV;Picos
020;BA;Eixo Principal;020BBA0220;ENTR BR-349(A) (DIV GO/BA);ENTR BR-349(B) (P/ CORRENTINA);0;18,1;18,1;PAV;;"020BBA0220;349BBA0501";Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0225;ENTR BR-349(B) (P/ CORRENTINA);P/ SÃO DOMINGOS;18,1;75,7;57,6;PAV;;020BBA0225;Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0230;P/ SÃO DOMINGOS;ENTR BA-463 (P/SÃO DESIDÉRIO);75,7;129,9;54,2;PAV;;020BBA0230;Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0235;ENTR BA-463 (P/SÃO DESIDÉRIO);RODA VELHA;129,9;135,9;6;PAV;;020BBA0235;Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0240;RODA VELHA;ENTR BR-242(A) (LUIS EDUARDO MAGALHÃES);135,9;212,1;76,2;PAV;;020BBA0240;Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0250;ENTR BR-242(A) (LUIS EDUARDO MAGALHÃES);FIM DUPLICAÇÃO;212,1;217,8;5,7;DUP;;"020BBA0250;242BBA0335";Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0255;FIM DUPLICAÇÃO;ENTR BR-135(A)/242(B) (BARREIRAS);217,8;300,7;82,9;PAV;;"020BBA0255;242BBA0330";Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0260;ENTR BR-135(A)/242(B) (BARREIRAS);CONTORNO DE BARREIRAS;300,7;306,4;5,7;PAV;;"020BBA0260;135BBA0575";Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0265;CONTORNO DE BARREIRAS;P/ RIACHÃO DAS NEVES;306,4;353,2;46,8;PAV;;"020BBA0265;135BBA0570";Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0270;P/ RIACHÃO DAS NEVES;ENTR BR-135(B)/BA-451 (MONTE ALEGRE);353,2;399,9;46,7;PAV;;"020BBA0270;135BBA0550";Federal;;;;Federal;PAV;Barreiras
020;BA;Eixo Principal;020BBA0280;ENTR BR-135(B)/BA-451 (MONTE ALEGRE);ACESSO A SANTA RITA DE CÁSSIA;399,9;466,4;66,5;PLA;;020BBA0280;Estadual;;BA-451;PAV;Estadual;PLA;
020;BA;Eixo Principal;020BBA0290;ACESSO A SANTA RITA DE CÁSSIA;ACESSO A MANSIDÃO;466,4;548,5;82,1;PLA;;020BBA0290;Federal;;;;Federal;PLA;
020;BA;Eixo Principal;020BBA0300;ACESSO A MANSIDÃO;ENTR BR-330 (ACESSO A BURITIRAMA);548,5;604,2;55,7;PLA;;020BBA0300;Federal;;;;Federal;PLA;
020;BA;Eixo Principal;020BBA0310;ENTR BR-330 (ACESSO A BURITIRAMA);ACESSO A ALTAMIRA;604,2;644,2;40;PLA;;020BBA0310;Federal;;;;Federal;PLA;
020;BA;Eixo Principal;020BBA0320;ACESSO A ALTAMIRA;ACESSO A NOVA HOLANDA;644,2;688,9;44,7;PLA;;020BBA0320;Federal;;;;Federal;PLA;
020;BA;Eixo Principal;020BBA0350;ACESSO A NOVA HOLANDA;ENTR BR-235 (CAMPO ALEGRE DE LOURDES);688,9;774,1;85,2;PLA;;020BBA0350;Federal;;;;Federal;PLA;
020;BA;Eixo Principal;020BBA0360;ENTR BR-235 (CAMPO ALEGRE DE LOURDES);DIV BA/PI;774,1;785,9;11,8;LEN;;020BBA0360;Federal;;;;Federal;N_PAV;Senhor do Bonfim
020;CE;Eixo Principal;020BCE0510;DIV PI/CE;ENTR CE-277 (P/PARAMBU);0;34,7;34,7;PAV;;020BCE0510;Federal;;;;Federal;PAV;Boa Viagem
020;CE;Eixo Principal;020BCE0520;ENTR CE-277 (P/PARAMBU);ENTR CE-187 (P/MARRECOS);34,7;65,3;30,6;PAV;;020BCE0520;Federal;;;;Federal;PAV;Boa Viagem
020;CE;Eixo Principal;020BCE0530;ENTR CE-187 (P/MARRECOS);ENTR BR-404/CE-176/187/363 (P/TAUÁ);65,3;83,1;17,8;PAV;;020BCE0530;Federal;;;;Federal;PAV;Boa Viagem
020;CE;Eixo Principal;020BCE0540;ENTR BR-404/CE-176/187/363 (P/TAUÁ);ENTR BR-226 (SANTA CRUZ DO BANABUIÚ);83,1;155,8;72,7;PAV;;020BCE0540;Federal;;;;Federal;PAV;Boa Viagem
