concessionaria;praca_de_pedagio;ano_do_pnv_snv;rodovia;uf;km_m;municipal;tipo_de_pista;sentido;situacao;data_da_inativacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;3 (Cambuí);2007;BR-381;MG;900.9;Cambuí;Principal;Crescente/Decrescente;Ativo;;-22.628487;-46.07789
AUTOPISTA FERNÃO DIAS;5 (Carmo da Cachoeira);2007;BR-381;MG;735.5;Carmo da Cachoeira;Principal;Crescente/Decrescente;Ativo;;-21.5457;-45.240203
AUTOPISTA FERNÃO DIAS;7 (Carmópolis de Minas);2007;BR-381;MG;597.7;Carmópolis de Minas;Principal;Crescente/Decrescente;Ativo;;-20.591486;-44.701506
AUTOPISTA FERNÃO DIAS;8 (Itatiaiuçu);2007;BR-381;MG;545.9;Itatiaiuçu;Principal;Crescente/Decrescente;Ativo;;-20.268346;-44.423711
AUTOPISTA FERNÃO DIAS;6 (Santo Antônio do Amparo);2007;BR-381;MG;658.3;Santo Antônio do Amparo;Principal;Crescente/Decrescente;Ativo;;-21.000367;-44.966967
